HBA,HBD,EXP. Data,Status,HBA:HBD,HBA_smiles,HBD_smiles,HBA_MaxAbsEStateIndex,HBA_MinEStateIndex,HBA_qed,HBA_SPS,HBA_MaxPartialCharge,HBA_MinPartialCharge,HBA_Ipc,HBA_PEOE_VSA1,HBA_VSA_EState4,HBD_MaxAbsEStateIndex,HBD_MinAbsEStateIndex,HBD_MinEStateIndex,HBD_qed,HBD_SPS,HBD_MolWt,HBD_MinPartialCharge,HBD_FpDensityMorgan1,HBD_BCUT2D_MWHI,HBD_BCUT2D_MWLOW,HBD_BCUT2D_LOGPLOW,HBD_BalabanJ,HBD_Ipc,HBD_Kappa2,HBD_PEOE_VSA1,HBD_PEOE_VSA10,HBD_PEOE_VSA2,HBD_PEOE_VSA7,HBD_PEOE_VSA8,HBD_PEOE_VSA9,HBD_SMR_VSA5,HBD_SMR_VSA6,HBD_SlogP_VSA1,HBD_SlogP_VSA3,HBD_TPSA,HBD_EState_VSA2,HBD_EState_VSA3,HBD_EState_VSA4,HBD_EState_VSA8,HBD_EState_VSA9,HBD_VSA_EState1,HBD_VSA_EState3,HBD_VSA_EState5,HBD_VSA_EState7,HBD_VSA_EState8,HBD_FractionCSP3
tetrabutylammonium bromide,monoethanolamine,34.5,Training,0.333,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,34.0,Training,0.333,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,33.6,Training,0.333,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,33.2,Training,0.333,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,35.8,Training,0.25,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,35.4,Training,0.25,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,34.6,Training,0.25,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,34.3,Training,0.25,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,33.9,Training,0.25,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
tetrabutylammonium bromide,monoethanolamine,36.0,Training,0.2,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,2.3275219671201812,0.0,0.48230987706293954,11.333333333333334,0.07860281371626412,-1.0,5034.904378780351,21.46448170982091,0.0,7.75,0.09722222222222232,0.09722222222222232,0.4055784163621654,7.5,61.083999999999996,-0.3950627389113919,1.75,16.250708392983924,10.760281297011385,-2.015888677241291,1.9747448713915894,6.854752972273345,2.92,10.84019487200289,0.0,0.0,0.0,6.544756405912575,6.606881964512918,0.0,13.151638370425493,5.733667477162185,0.0,46.25,6.606881964512918,6.544756405912575,0.0,0.0,10.84019487200289,0.0,7.75,0.0,0.0,0.4722222222222223,1.0
